סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3642 ,חומש ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,15 ,2 ,6 ,5 ,2 ,0 ,0
3643 ,חיננית ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1881 ,208 ,650 ,663 ,174 ,98 ,88
3644 ,גבעון החדשה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1202 ,96 ,194 ,441 ,94 ,145 ,232
3645 ,בית הערבה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,413 ,53 ,141 ,153 ,46 ,14 ,6
3646 ,חמדת ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,406 ,54 ,147 ,148 ,41 ,16 ,0
3647 ,יקיר ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2984 ,373 ,1027 ,1064 ,280 ,102 ,138
3648 ,מתתיהו ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,971 ,109 ,274 ,365 ,90 ,41 ,92
3649 ,שקד ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1202 ,104 ,372 ,403 ,142 ,80 ,101
3650 ,אפרת ,76 ,בית לחם ,11 ,ירושלים ,0 , ,13392 ,1170 ,3989 ,4717 ,1208 ,851 ,1457
3651 ,מעלה מכמש ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2340 ,323 ,721 ,865 ,199 ,133 ,99
3652 ,בית אריה ,74 ,ראמאללה ,349 ,ראש העין ,0 , ,6200 ,439 ,1467 ,2197 ,899 ,601 ,597
3653 ,מעלה עמוס ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1567 ,389 ,541 ,545 ,44 ,23 ,25
3654 ,ברקן ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2311 ,169 ,536 ,753 ,352 ,247 ,254
3655 ,ניל"י ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2293 ,152 ,675 ,764 ,329 ,194 ,179
3656 ,כרמל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,712 ,130 ,232 ,245 ,36 ,32 ,37
3657 ,מעון ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,783 ,131 ,283 ,280 ,33 ,33 ,23
3658 ,עטרת ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,834 ,130 ,292 ,301 ,51 ,33 ,27
3659 ,פסגות ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2342 ,390 ,745 ,842 ,166 ,75 ,124
3660 ,עמנואל ,73 ,טול כרם ,349 ,ראש העין ,0 , ,6684 ,1440 ,1971 ,2402 ,326 ,208 ,337
3709 ,מבוא חורון ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2691 ,270 ,982 ,928 ,309 ,83 ,119
3710 ,ברכה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3421 ,531 ,1327 ,1192 ,210 ,68 ,93
3711 ,שא-נור ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,25 ,1 ,6 ,6 ,2 ,1 ,9
3712 ,ענב ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,1351 ,220 ,495 ,448 ,65 ,33 ,90
3713 ,נעמ"ה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,353 ,56 ,95 ,142 ,15 ,11 ,34
3715 ,עלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1525 ,101 ,392 ,568 ,194 ,135 ,135
3717 ,חרמש ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,307 ,25 ,53 ,104 ,32 ,37 ,56
3719 ,תלם ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,729 ,141 ,252 ,270 ,35 ,16 ,15
3722 ,אשכולות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,616 ,28 ,182 ,222 ,95 ,61 ,28
3723 ,פני חבר ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,669 ,114 ,263 ,213 ,38 ,28 ,13
3724 ,נגוהות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,723 ,147 ,252 ,272 ,47 ,3 ,2
3725 ,נווה דניאל ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3115 ,362 ,839 ,1185 ,298 ,209 ,222
3726 ,נוקדים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3895 ,624 ,1346 ,1361 ,285 ,126 ,153
3727 ,עלי זהב ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,5833 ,907 ,2508 ,1928 ,348 ,76 ,66
3730 ,גבעת זאב ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,25982 ,3921 ,7827 ,9207 ,1688 ,1218 ,2121
3743 ,טנא ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,1195 ,139 ,468 ,393 ,101 ,40 ,54
3744 ,ברוכין ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2850 ,540 ,1159 ,939 ,177 ,7 ,28
3745 ,בית יתיר ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,751 ,116 ,257 ,256 ,36 ,34 ,52
3746 ,קרית נטפים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1228 ,220 ,385 ,471 ,88 ,31 ,33
3747 ,דולב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1679 ,214 ,553 ,603 ,126 ,91 ,92
3748 ,עתניאל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,987 ,132 ,307 ,395 ,61 ,55 ,37
3749 ,יצהר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,2727 ,620 ,1049 ,898 ,104 ,33 ,23
3750 ,אלפי מנשה ,73 ,טול כרם ,349 ,ראש העין ,0 , ,8618 ,427 ,1917 ,2822 ,1472 ,825 ,1155
3751 ,מגדלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,965 ,251 ,298 ,340 ,33 ,23 ,20
3752 ,מעלה לבונה ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין ,1073 ,225 ,307 ,397 ,50 ,42 ,52
3754 ,אספר ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1658 ,407 ,598 ,557 ,48 ,22 ,26
3756 ,סוסיה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,1621 ,290 ,499 ,605 ,78 ,77 ,72
